project_folder,score,unsafe_removed,unsafe_remaining,passtests,agent_safety_prompt_call_duration_sec,agent_safety_prompt_output_tokens
zlib_attempt1,0.01635372501514234,108,6496,True,275.372593998909,20856
zlib_attempt2,0.01816502463054187,118,6378,True,392.93309887778014,27557
zlib_attempt3,0.0031357792411414237,20,6358,True,337.7287911204621,21786
zlib_attempt4,0.01100975149418056,70,6288,True,365.50226214621216,28881
zlib_attempt5,0.010178117048346057,64,6224,True,354.77382233925164,26060
zlib_attempt6,0.12066195372750642,751,5473,True,315.28282139264047,22508
zlib_attempt7,0.0016444363237712407,9,5464,True,381.6478517539799,29801
zlib_attempt8,0.016105417276720352,88,5376,True,569.1846910770983,41024
zlib_attempt9,0.006510416666666666,35,5341,True,471.42820271477103,33567
zlib_attempt10,0.0127316981838607,68,5273,True,479.3548672012985,37602
zlib_attempt11,0.008913332069030912,47,5226,True,402.59430751297623,32333
zlib_attempt12,0.010715652506697284,56,5170,True,331.34066113550216,28652
zlib_attempt13,0.027079303675048357,140,5030,True,384.7521140417084,32225
zlib_attempt14,0.002584493041749503,13,5017,True,412.82973347231746,29621
zlib_attempt15,0.008371536774965119,42,4975,True,433.12576918303967,25490
zlib_attempt16,0.004020100502512563,20,4955,True,557.9583575390279,32841
zlib_attempt17,0.0056508577194752775,28,4927,True,448.1922236699611,28860
zlib_attempt18,0.009336310127866856,46,4881,True,609.4881808422506,38399
zlib_attempt19,0.003278016799836099,16,4865,True,555.0594098838046,32638
zlib_attempt20,0.002672147995889003,13,4852,True,687.7515855450183,42848
