filepath,score
helloworld_with_header/src/main.rs,0.0
helloworld_lib/src/hello.rs,1.0
helloworld_with_header/src/sillymain.rs,1.0
helloworld/src/main.rs,0.0
storage_class_auto_lib/src/driver.rs,1.0
storage_class_register_lib/src/driver.rs,0.0
nineality_sieve_lib/src/sieve.rs,1.0
iso646_and_digraphs_lib/src/driver.rs,1.0
strcspn_lib/src/driver.rs,1.0
comma_operator_lib/src/driver.rs,1.0
float_union_lib/src/driver.rs,0.0
integer_overflow_lib/src/driver.rs,1.0
stdlib_div_lib/src/driver.rs,0.0
stack_linked_list_lib/src/simplestruct.rs,1.0
static_loop_lib/src/staticloop.rs,1.0
storage_class_register/src/main.rs,1.0
storage_class_auto/src/main.rs,0.0
cast_to_char_ptr_int_lib/src/driver.rs,0.0
cast_to_char_ptr_float_lib/src/driver.rs,0.0
uninit_int_ptr_lib/src/driver.rs,1.0
float_union/src/main.rs,0.0
comma_operator/src/main.rs,1.0
static_alias_lib/src/staticalias.rs,1.0
uninit_char_ptr_lib/src/driver.rs,0.0
stdlib_div/src/main.rs,1.0
strchr_lib/src/driver.rs,1.0
iso646_and_digraphs/src/main.rs,0.0
uninit_int_ptr/src/main.rs,1.0
cast_to_char_ptr_float/src/main.rs,0.0
cast_to_char_ptr_int/src/main.rs,0.0
dead_code_lib/src/driver.rs,1.0
bitfield_lib/src/driver.rs,0.0
cast_to_char_ptr_struct_lib/src/driver.rs,0.0
cast_to_char_ptr_int_no_strict_aliasing_lib/src/driver.rs,0.0
cast_to_char_ptr_float_no_strict_aliasing_lib/src/driver.rs,1.0
uninit_char_ptr/src/main.rs,1.0
return_stack_buffer_lib/src/driver.rs,1.0
complex_goto_lib/src/driver.rs,1.0
struct_and_static_lib/src/driver.rs,0.0
goto_and_static_lib/src/driver.rs,1.0
poor_quality_addition_lib/src/driver.rs,0.0
return_stack_buffer/src/main.rs,0.0
cast_to_char_ptr_struct/src/main.rs,1.0
cast_to_char_ptr_float_no_strict_aliasing/src/main.rs,0.0
mutable_buffer_overlap_extrahard/src/main.rs,0.0
mutable_buffer_overlap_extrahard_lib/src/driver.rs,1.0
cast_to_char_ptr_int_no_strict_aliasing/src/main.rs,1.0
cast_to_char_ptr_struct_no_strict_aliasing_lib/src/driver.rs,1.0
struct_and_static/src/main.rs,1.0
string_slicing_lib/src/slicing.rs,1.0
signed_length_confusion_lib/src/driver.rs,0.0
goto_and_static/src/main.rs,1.0
dead_code/src/main.rs,1.0
long_run_lib/src/long.rs,1.0
complex_goto/src/main.rs,1.0
nineality_sieve/src/main.rs,1.0
cast_to_char_ptr_struct_no_strict_aliasing/src/main.rs,1.0
divide_by_zero_float_lib/src/driver.rs,1.0
bitfield/src/main.rs,1.0
static_loop/src/main.rs,1.0
stdin_echo/src/main.rs,1.0
poor_quality_addition/src/main.rs,0.0
integer_overflow_char_max_multiply_lib/src/driver.rs,1.0
disjoint_arrays/src/main.rs,1.0
stack_buffer_overflow_loop1_lib/src/driver.rs,1.0
integer_overflow/src/main.rs,0.0
disjoint_arrays_lib/src/driver.rs,1.0
integer_overflow_char_max_multiply/src/main.rs,1.0
struct_and_errno_and_static_lib/src/driver.rs,0.0
stack_buffer_overflow_loop1/src/main.rs,1.0
static_alias/src/main.rs,0.0
struct_and_errno_lib/src/driver.rs,1.0
errno-pow_lib/src/pow.rs,1.0
stack_buffer_overflow_lib/src/driver.rs,1.0
strcspn/src/main.rs,0.0
string_slicing/src/main.rs,1.0
signed_length_confusion/src/main.rs,1.0
struct_and_errno_and_static/src/main.rs,1.0
struct_and_errno/src/main.rs,1.0
divide_by_zero_float/src/main.rs,1.0
strchr/src/main.rs,1.0
long_run/src/main.rs,1.0
errno-pow/src/main.rs,1.0
stack_buffer_overflow/src/main.rs,1.0
ctype_ascii_lib/src/driver.rs,1.0
ctype_ascii/src/main.rs,1.0
