filepath,score
tu_linkage/src/lib.rs,0.0
container_of/src/container_of.rs,0.0
matrix_mult_lib/src/driver.rs,0.0
tu_linkage/src/a.rs,0.0
tu_linkage/src/b.rs,1.0
matrix_mult_lib/src/write.rs,0.5
macrodepth_add_5/src/mdcore.rs,1.0
macrodepth_sub_6/src/mdcore.rs,1.0
macrodepth_mul_4/src/mdcore.rs,1.0
task_manager_lib/src/logger.rs,0.0
cleanup_lib/src/lib.rs,1.0
char_to_bool/src/main.rs,1.0
goto_lib/src/goto.rs,0.5
task_manager_lib/src/task_manager.rs,1.0
macrodepth_add_5/src/mdmain.rs,1.0
macrodepth_sub_6/src/mdmain.rs,0.5
macrodepth_mul_4/src/mdmain.rs,1.0
task_manager_lib/src/driver.rs,0.0
memmove/src/main.rs,1.0
strcpy/src/main.rs,0.0
jumpnode_lib/src/lib.rs,0.0
tu_linkage/src/util.rs,0.0
matrix_sum_lib/src/lib.rs,0.0
memchra2_lib/src/lib.rs,1.0
buffapp_lib/src/lib.rs,0.0
maxnmin_lib/src/lib.rs,0.0
betagamma_lib/src/lib.rs,0.0
dataentry_lib/src/lib.rs,0.0
modeselect_lib/src/lib.rs,0.0
arity_lib/src/lib.rs,0.5
findrep_lib/src/lib.rs,0.0
overunder_lib/src/lib.rs,1.0
complexmode_lib/src/lib.rs,0.0
mathop_lib/src/lib.rs,1.0
arrayfunc_lib/src/lib.rs,0.0
hashmap_tree/src/hashmap.rs,0.0
fallcalc_lib/src/lib.rs,0.0
doubleneg_lib/src/lib.rs,0.0
hatch_lib/src/lib.rs,0.0
tu_linkage/src/main.rs,1.0
gotomach_lib/src/lib.rs,1.0
tu_linkage/src/engine.rs,0.0
checkshift_lib/src/lib.rs,0.0
inreftree_lib/src/lib.rs,1.0
confusion_lib/src/lib.rs,1.0
matrix_mult_lib/src/matrix.rs,1.0
charinbuf_lib/src/lib.rs,1.0
envy_lib/src/lib.rs,1.0
strcpy/src/lib.rs,0.5
pointer_comparison_ascii_art/src/scene.rs,1.0
char_to_bool/src/lib.rs,0.0
static_vars_fpts/src/analyzer.rs,0.5
hashmap_tree/src/tree.rs,0.0
memmove/src/lib.rs,0.0
mutable_duplication_dag/src/lib.rs,1.0
mutable_duplication_dag/src/main.rs,1.0
pointer_comparison_ascii_art/src/shape.rs,0.0
static_vars_fpts/src/tokenizer.rs,0.5
pointer_comparison_ascii_art/src/main.rs,0.5
memcpy_fun_buffers/src/main.rs,1.0
generic_foreach/src/inventory.rs,0.5
static_vars_fpts/src/main.rs,0.5
generic_foreach/src/main.rs,1.0
strcmp/src/main.rs,1.0
hashmap_tree/src/main.rs,1.0
