filepath,score
rev16_lib/src/lib.rs,1.0
ldexp_q2_lib/src/lib.rs,1.0
next_double_lib/src/lib.rs,1.0
wcscat_lib/src/lib.rs,1.0
flip_horizontal_lib/src/lib.rs,1.0
normalize_lib/src/lib.rs,1.0
gaussian_kernel_lib/src/lib.rs,1.0
to_barycentric_lib/src/lib.rs,1.0
max_size_frame_lib/src/lib.rs,1.0
div_euclid_lib/src/lib.rs,1.0
bitwriter_add_lib/src/lib.rs,1.0
premultiply_lib/src/lib.rs,1.0
rgb_to_hsv_lib/src/lib.rs,1.0
md5_digest_lib/src/lib.rs,1.0
bin2hex_lib/src/lib.rs,0.0
hdr_compare_lib/src/lib.rs,1.0
hsv_to_rgb_lib/src/lib.rs,1.0
colourblind_lib/src/lib.rs,1.0
contrast_ratio_lib/src/lib.rs,1.0
tfm_lib/src/lib.rs,1.0
merge_sort_lib/src/lib.rs,1.0
hsl_to_rgb_lib/src/lib.rs,1.0
encode_quant_lib/src/lib.rs,1.0
collided_lib/src/lib.rs,1.0
flac_validate_lib/src/lib.rs,1.0
hex2bin_lib/src/lib.rs,1.0
pow43_lib/src/lib.rs,1.0
dequantize_granule_lib/src/lib.rs,1.0
synth_pair_lib/src/lib.rs,1.0
tritanopia_lib/src/lib.rs,1.0
update_md5_lib/src/lib.rs,1.0
hdr_bitrate_lib/src/lib.rs,1.0
ima_parse_lib/src/lib.rs,1.0
update_frame_header_lib/src/lib.rs,1.0
float2half_lib/src/lib.rs,1.0
read_side_info_lib/src/lib.rs,1.0
crc16_lib/src/lib.rs,1.0
half2float_lib/src/lib.rs,1.0
